attraction,lat,long,rating
Torre Bellesguard,41.409241,2.126297,4
Santa Anna Church,41.385887,2.171445,4
Frederic Mares Museum (Museu Frederic Mares),41.38448,2.176674,4
Antic Hospital de la Santa Creu,41.412086,2.174272,4
Mercado del Ninot,41.387947,2.154233,4
Museu de la Xocolata,41.386944,2.181777,3
Museu del Modernisme,41.388813,2.163503,4
Main Synagogue,41.382553,2.175845,4
Placa de Sant Jaume,41.382675,2.176589,4
Nadal,41.424377,1.700903,4
Gaudi Experience,41.412468,2.153706,4
Rambla del Poblenou,41.398689,2.204278,4
Basilica of Our Lady of Mercy,41.379326,2.17937,4
Museu de Ciencies Naturals de Barcelona,41.410778,2.220643,4
Museu del Disseny de Barcelona,41.402542,2.187944,4
Mercat del Born,41.385464,2.184061,4
Casa Vicens,41.403419,2.150837,4
MUHBA Temple d'August,41.383423,2.177067,4
Joan Antonio Samaranch Olympic & Sports Museum,41.366364,2.157058,4
Plaza de Toros Monumental de Barcelona,41.400002,2.181111,4
Barcelona Egyptian Museum,41.393631,2.164699,4
La Ovella Negra,41.384369,2.169353,4
Cementerio de Montjuic,41.355282,2.15495,4
Estacio de Franca,41.384399,2.185172,4
Begemot Art & Fashion Gallery,41.390148,2.17774,5
Encants Barcelona,41.403831,2.1855,4
Center of Contemporary Culture of Barcelona (CCCB),41.383648,2.166394,4
MACBA Museu d'Art Contemporani de Barcelona,41.383018,2.167097,3
Jardin Botanico de Barcelona,41.364475,2.160226,4
Collage Art & Cockails,41.382561,2.18154,4
Raval,41.378986,2.169597,4
Casa Calvet,41.391056,2.172939,4
City Hall (Casa de la Ciutat / Ayuntamiento),41.382572,2.176958,4
MUHBA Turo de la Rovira,41.419292,2.161872,4
Casa de les Punxes,41.398087,2.163941,4
Scopic Miniatur Barcelona,41.37989,2.14339,4
Gran de Gracia,41.402451,2.152623,4
Portal de l'Angel,41.385971,2.172499,4
Centro Comercial Splau,41.385597,2.169576,4
Galeria Maxo,41.388828,2.180799,5
"Lambicus, centre cerveser",41.37598,2.157428,5
Catalunya Square,41.387337,2.170356,4
Plaza del Pi,41.382256,2.173783,4
Gold Fish Sculpture,41.385853,2.197308,4
Museo olimpico barcellona,41.366364,2.157081,4
Barri de La Ribera,41.384987,2.182891,4
Museu Moto,41.383331,2.174444,4
L'antic Teatre,41.387135,2.176025,4
Museu de la Musica,41.398289,2.18477,4
Carrer Montcada,41.384792,2.181537,4
El Desconsol,41.389072,2.186375,4
Pont del Bisbe,41.383415,2.17626,4
El Maestrazgo Gran Bodega,41.38868,2.179223,4
Cafe Teatre Llantiol,41.37883,2.16744,4
Tivoli Theatre,41.388931,2.170639,4
Casa Bruno Quadros,41.381393,2.173121,4
Cara de Barcelona,41.378696,2.179921,4
Museum of Archaeology of Catalonia (Museu Arqueologic de Catalunya),41.368988,2.153171,4
Museum of World Cultures,41.384975,2.180991,4
Opera Lounge,41.389729,2.15695,5
Taxi Boat Club Sitges and Barcelona,41.387157,2.198641,5
Torre de Collserola,41.418278,2.115922,4
Palau de la Generalitat de Catalunya,41.382614,2.176942,4
La Casa de la Seda Barcelona,41.387024,2.174981,4
Poblenou Cemetery,41.396229,2.204215,4
Park of Joan Miro,41.377644,2.147106,3
F1 - Spanish Grand Prix,41.568226,2.257149,4
Base Elements Urban Art Gallery,41.381088,2.17802,4
Claustro E Iglesia de la Concepcion,41.39439,2.167067,4
"College of Architects of Catalonia, Picasso Wall",41.384438,2.175058,3
Barcelona Fira Montjuic Hall of Conferences,41.37323,2.14997,4
Passeig del Colom,41.37611,2.177222,4
Avenida del Paralelo,41.374962,2.16777,4
Barcelona International Convention Center,41.410557,2.219611,4
L Atelier de Blai,41.373993,2.163719,4
Parc del Forum,41.410419,2.221989,4
Mercat de la Concepcio Barcelona,41.39584,2.168764,4
Basilica de los santos Justo y Pastor,41.382835,2.178232,4
Sculpture Smiling Shrimp,41.37904,2.180575,4
Galeria Olimpica,41.365013,2.151924,4
Library of Catalonia,41.380917,2.1701,4
Fundacion Mapfre,41.388901,2.16523,4
La Merce,41.308292,2.076166,4
Platja de la Nova Icaria,41.387383,2.197936,4
MUHBA Via Sepulcral Romana,41.384342,2.172176,4
Finca Guell,41.389339,2.11933,3
Casa de l'Ardiaca,41.384068,2.175699,4
Mercat de Sant Antoni,41.379539,2.16174,4
Plaza del Sol,41.40163,2.15707,4
Parque de la Espana Industrial,41.378887,2.141857,3
Teatro Coliseum,41.388165,2.166167,3
La Fontana de Canaletes,41.385185,2.170322,4
Avinguda Diagonal,41.508778,2.225388,4
Fundacion Francisco Godia,41.388969,2.16514,4
Playa de la Mar Bella,41.39901,2.209688,4
Palau de la Virreina,41.382538,2.171927,4
Casa Rocamora,41.394932,2.16177,4
Asociacion Raices y Cultura,41.384689,2.178791,5
Castell de Tres Dragons,41.388294,2.183793,4
Parc Diagonal Mar,41.409042,2.213607,4
Barcelona Bosc Urba,41.414402,2.194021,4
Esglesia de Betlem,41.383148,2.17145,4
MUHBA Refugi 307,41.37154,2.1666,4
Fundacio Antoni Tapies,41.391537,2.163826,3
Parque del Centro de Poblenou,41.406792,2.20141,4
Teatre Poliorama,41.38414,2.170774,4
Piscina Municipal de Montjuic,41.368896,2.164617,4
Tramvia Blau,41.41478,2.12981,3
Columbus Monument,41.375851,2.177728,4
Parc de la Ciutadella Centre Esportiu Municipal,41.3895,2.186625,4
L'Auditori,41.39793,2.186038,4
LandSailing Bcn Blokart Track,41.406322,2.219462,5
Enrique Tomas,41.382835,2.177287,4
Jardins Joan Maragall- Palauet Albeniz,41.366459,2.15621,4
Placa de Rius i Taulet,41.400093,2.157876,4
Parc de Collserola,41.419548,2.101087,4
Casa Comalat,41.39732,2.16057,4
Mossen Costa i Llobera Gardens,41.368713,2.171927,4
Museu de Cultures del Mon,41.38504,2.18093,4
Roman Fort,41.383461,2.178995,4
Iglesia de San Jaime,41.38131,2.1755,4
Mercat Abaceria,41.401958,2.159311,4
Barcino,41.38427,2.17508,4
Palau del Baro de Quadras,41.396832,2.16129,4
Artevistas Gallery,41.38176,2.17651,4
Barcelona Wax Museum,41.377373,2.177264,3
Porta de la Finca Miralles,41.392071,2.12748,4
Carrer Petritxol,41.385597,2.169576,4
"Palau Moja, The Catalan Heritage House",41.38316,2.171944,4
Club Natacio Atletic Barceloneta,41.374481,2.18858,4
University of Barcelona,41.386028,2.163943,4
Jardins de Laribal,41.368504,2.157332,4
Church of Sant Francesc de Sales,41.398178,2.170994,4
El Musea de la Musica de Barcelona,41.402225,2.185535,4
Palau de Lloctinent,41.383968,2.17701,4
Casa Damians,41.385628,2.169159,4
Parroquia de la Mare de Deu de Betlem,41.38324,2.171393,4
Running Barcelona,41.408649,2.13783,5
Casa de La Llotja,41.382511,2.182762,4
Teatre Nacional de Catalunya - TNC,41.399555,2.18634,4
Jardin de Rosas de Cervantes,41.385082,2.1058,4
Mercat de le Flors,41.370522,2.15654,4
Jardines del Turo del Putxet,41.408039,2.14348,4
Villa del Arte Galleries,41.384769,2.17651,5
Teatre Principal,41.378742,2.175439,4
Real Santuario San Jose de la Montana,41.385597,2.169576,4
Torre de les Aigues del Besos,41.405952,2.212315,4
Palau Robert,41.396099,2.15953,4
Pastisseria Nana Yoti,41.403851,2.1583,5
Mercat de la Llibertat,41.400078,2.161651,4
Antigua Casa Figueras,41.381531,2.1727,4
Gran Lago del Parque de la Ciudadela,41.388561,2.186814,4
Jardins del Mirador del Alcalde,41.37141,2.17047,4
Refugio Antiaereo de la Placa Del Diamant,41.40432,2.155879,4
Calatrava Tower,41.364967,2.151758,4
Barbier Mueller Museum of Pre-Columbian Art,41.38504,2.18094,4
Mosaic del Pla de l'Os,41.380756,2.173767,4
Montgat Beach,41.385597,2.169576,4
Skating Club,41.397789,2.17413,4
Museu Diocesa,41.384651,2.17609,4
Opera Samfaina,41.380608,2.17375,3
Parque del Castillo de l'Oreneta,41.39896,2.11404,3
Church of San Felipe Neri,41.383389,2.17496,4
Mirador del Poble Sec,41.371178,2.172198,4
Casa Macaia,41.399719,2.16936,4
Pedralbes Centre Shopping,41.388325,2.128841,4
MUHBA - El Call,41.382729,2.17542,4
Espai Penedes BCN,41.384418,2.16234,4
Museu Del Calcat,41.38324,2.17502,4
Casa Mila',41.395088,2.161717,4
Placa de la Virreina,41.385597,2.169576,4
Palacio del Parlament de Catalunya,41.387344,2.187628,4
Mercat de Sants,41.366844,2.144939,4
Fuente de la Portaferrissa,41.38306,2.17195,4
Royal Artistic Circle of Barcelona,41.38467,2.17435,3
Primavera Sound Barcelona,41.41116,2.22103,4
Jardins de La Tamarita,41.409882,2.13549,4
Museu de Ceramica,41.386501,2.11845,4
Esglesia de l'hospital de la Santa Creu i Santa Pau,41.412392,2.17577,4
Palacio Real de Pedralbes,41.386501,2.11845,4
Piscines Bernat Picornell,41.365608,2.1506,3
Palau Montaner,41.395603,2.164892,4
The Art of the Brick,41.376408,2.149496,4
Salo del Tinell,41.384109,2.17759,4
Jardins de Rubio i Lluch,41.381481,2.16883,4
Observatorio Fabra,41.385597,2.169576,3
Santuari de la Mare de Deu Del Carme Barcelona,41.397449,2.16235,4
Casa Marfa,41.39307,2.16427,4
Sonar Festival,41.354523,2.128156,5
Chocolate Negro,41.400982,2.16074,5
Fran Daurel Foundation (Fundacio Fran Daurel),41.368797,2.147235,4
Colmado Quilez,41.391209,2.163213,4
Port Masnou,41.412468,2.228064,4
Jardines de la Torre de Les Aigues,41.393188,2.169414,4
Immersion con tiburones Aquarium Barcelona,41.381039,2.18266,4
Parque del Guinardo,41.420044,2.170494,4
Fundacio Sunol,41.395481,2.16109,4
Capella de Santa Agata,41.384109,2.17759,4
Birra 08,41.40712,2.19082,5
Centre de la Imatge,41.382378,2.17168,4
Bulevard Rosa,41.393169,2.16396,4
Monasterio de Sant Pere de les Puel.les,41.3899,2.1788,4
The Thinker bull,41.395741,2.15693,4
Fundacio Gaspar,41.384689,2.18154,4
Font de Santa Anna,41.38451,2.17422,4
Nuestra Senora de Belen,41.382969,2.17094,3
Homenatge Als Castellers,41.381886,2.177297,3
Placa George Orwell,41.379971,2.17674,3
El Fossar de les Moreres,41.385597,2.169576,4
Parroquia Purisima Concepcion,41.394321,2.167898,4
Placa de Francesc Macia,41.392712,2.143989,3
Museu dels Automats del Tibidabo,41.421741,2.119803,3
Parc del Clot,41.409081,2.19074,4
Monumento a los Martires de la Independencia,41.383633,2.175856,4
Parroquia de San Agustin,41.380459,2.17188,4
Miraestels,41.373089,2.17837,4
Trenhotel Salvador Dali,41.385597,2.169576,4
Castell D'Age,41.490612,1.845501,5
Font de Sant Just,41.382931,2.17848,4
Gimnasio Puro Impacto Barcelona,41.42329,2.18151,5
Bancs Fanals,41.393169,2.16396,4
Edificio Telefonica Diagonal,41.411819,2.22094,4
Playa de Sant Miquel,41.380905,2.193283,4
Edifici de Correus,41.381687,2.181779,4
BlueMar Ferries,41.373528,2.178123,4
Monument al general Prim,41.386379,2.186844,3
Escultura Carmela,41.385597,2.169576,4
Placa de Sant Josep Oriol,41.385597,2.169576,4
Monestir de Santa Maria de Valldonzella,41.41222,2.13094,4
Edifici de la Caixa de Pensions,41.387691,2.17396,4
Articket Barcelona,41.38295,2.16729,4
Jardin Botanico Historico,41.367767,2.151108,4
Flirty Giraffe,41.395741,2.15693,4
Monumento Francesc Masia,41.385597,2.169576,4
Zoological Museum,41.37738,2.1784,3
Playa de Somorrostro,41.385597,2.169576,4
Mercat de mercats,41.39098,2.19649,4
Casa Golferichs,41.380798,2.15639,4
Plaza de Ramon Berenguer el Gran,41.385597,2.169576,4
Espai Volart i Volart 2,41.390968,2.17529,5
Collegio Teresiano,41.398327,2.134947,4
Casa Pich i Pon,41.387581,2.169107,3
Museu de Carrosses Funebres,41.354359,2.14899,4
Placa Tetuan,41.395416,2.175532,4
Mercat Sagrada Familia,41.405701,2.177,4
Parque Cervantes,41.386303,2.119405,4
La Garrafa dels Beatles,41.383099,2.13135,4
Arts Santa Monica,41.377441,2.175973,4
Teatro Romea,41.380562,2.17106,5
Font del Geni Catala,41.382778,2.18435,4
Casa Llopis i Bofill,41.397652,2.16948,4
Pueblo Espanol,41.368813,2.146887,3
Jardins del Palau de les Heures,41.435795,2.147403,4
Monumento a Santa Eulalia,41.379559,2.165889,4
Casa Thomas,41.396358,2.16575,4
Font de les Tres Gracies,41.3801,2.17485,4
Parc de les Cascades,41.38744,2.196024,4
Casa Sayrach,41.394543,2.152719,4
Borras,41.388859,2.1736,4
La Capilla de Marcus,41.385651,2.179971,4
Auditorio de Barcelona,41.385597,2.169576,4
David & Goliath Sculpture,41.397324,2.183595,3
Heron City Barcelona,41.435242,2.180869,3
Monumento al libro,41.385597,2.169576,3
Museu Palmero,41.424889,2.14081,5
Font Pla de la Boqueria,41.381111,2.173567,3
Instituto Mental de la Santa Creu,41.385597,2.169576,4
Casa Carreras,41.38578,2.17384,4
Parc de l'Estacio del Nord,41.393181,2.18459,4
Monumento al Perro Abandonado,41.377392,2.17842,4
Casa de la Lactancia,41.380081,2.15543,4
Barcelona City Hall Tourist Office,41.382679,2.17672,4
Ramon Berenguer III,41.385597,2.169576,4
Jardins de Villa Amelia,41.393745,2.123323,4
Lokavore,41.392338,2.160568,4
MUHBA Oliva Artes,41.408379,2.20135,4
Escultura al Moll de la Fusta,41.385723,2.19709,4
Jardins de Gandhi,41.403728,2.20783,4
Parc de la Trinitat,41.450989,2.19266,4
Galeria Joan Gaspar,41.388561,2.16108,5
Microcultura Barcelona,41.391521,2.14636,5
Ethnology Museum of Barcelona,41.375351,2.17195,3
Puerta de la Justicia,41.385597,2.169576,5
Mercat del Art de la Placa de Sant Josep Oriol,41.382301,2.174271,4
Casa Doctor Genove,41.380726,2.173551,4
Parque de la Estacion del Norte,41.393169,2.18455,5
Parroquia Castrense,41.385681,2.18574,4
Gastronomia Activa,41.396091,2.14601,4
Parque Turo,41.39373,2.14202,4
Passeig Ribes Roges,41.385597,2.169576,4
Wallace fountain,41.38063,2.17362,4
Banco Espanol de Credito,41.386261,2.17057,3
Arquivo Historico da Cidade de Barcelona,41.384041,2.17576,4
Mercearia do Lusitano,41.40078,2.20483,4
Military Museum (Museo Militar),41.363594,2.167232,3
Mirador del Rei Marti,41.384151,2.17722,4
Monumento a Ignasi Barraquer,41.390289,2.14137,3
PLOM Gallery,41.396465,2.155613,4
Casa Llorenc Camprubi,41.38932,2.17083,4
Fuente de Carmen Amaya,41.380039,2.193017,4
Fira d'Antiquaris,41.384731,2.17587,4
Parque de la Barceloneta,41.382412,2.192706,3
Monumento a Roger de Lluria,41.389923,2.181395,4
Jardins del Viver de Can Borni,41.418335,2.125458,4
Can Serra,41.39558,2.15751,5
Barcelona Beer Experience,41.37175,2.18092,5
Capilla de Santa Lucia,41.385597,2.169576,3
Casa Serra,41.39695,2.16361,5
Palau Reial Major,41.3801,2.17485,4
L'Estel Ferit,41.380905,2.193283,3
Anfiteatro Anatomico,41.3815,2.16896,5
MUHBA Domus de Sant Honorat,41.382622,2.17592,3
Mercat de Lesseps,41.409,2.15193,4
Calle L'Anisadeta,41.385597,2.169576,5
Sopar Amb les Estrelles,41.420074,2.121714,3
Monumento Al Doctor Andreu,41.395641,2.17464,3
MUHBA at Fabra i Coats,41.433678,2.191594,4
La Deessa,41.386337,2.169619,4
Roger Callan,41.411404,2.174449,4
Mistos Sculpture,41.43021,2.15093,3
Jardins de Villa Cecilia,41.385597,2.169576,4
Fanals,41.3801,2.17485,4
Mercado Galvany,41.396912,2.14406,4
Casa Perez Samanillo,41.39539,2.1541,4
Parc Esportiu Urba de la Mar Bella,41.373314,2.136768,4
Parque lineal de Garcia Faria,41.403122,2.21343,4
Jardin de Can Sentmenat,41.401783,2.115011,4
Mare de Deu de la Bonanova,41.40667,2.13327,4
Villa Joana,41.419788,2.09981,5
Mercado de Sant Andreu,41.434898,2.18838,4
Edificio Mutua Universal,41.387581,2.16474,4
Mercat de Les Corts,41.383659,2.13003,4
UAB Idiomes Barcelona,41.413704,2.17764,4
Edifici de Transmediterrania,41.381989,2.1815,4
Gintonics y sushi en una Terraza de Barcelona,41.380619,2.17359,5
Blueproject Foundation,41.387161,2.18272,5
Museum of the Decorative Arts,41.40247,2.187397,3
Bubbleparc,41.375996,2.183318,4
Esglesia dels Josepets de Gracia,41.407211,2.14877,4
Casa Lamadrid,41.396912,2.16818,4
IMAX Port Vell,41.380798,2.18316,3
Jardin Principe de Girona,41.41066,2.16852,3
Monumento a Jacinto Verdaguer,41.398441,2.170952,3
Municipal Conservatory of Barcelona,41.395641,2.16794,5
Parque de la Nova Icaria,41.39357,2.20182,3
Secrets de Barcelona,41.37236,2.17996,5
Fundacio Foto Colectania,41.397968,2.15308,4
Esglesia de Sant Andreu de Palomar,41.436138,2.19204,4
El Parque de Sant Marti,41.420071,2.1976,3
La font de la Granota,41.395592,2.15793,4
Mural de l'Aeroport de Barcelona,41.385597,2.169576,4
La Lareja,41.385597,2.169576,3
Ruta del Vermut por Poble Sec,41.37484,2.17182,4
Parque Del Garraf,41.385597,2.169576,5
Casa Pomar,41.395599,2.17026,5
Castillo De Torre Baro,41.450741,2.17611,5
Barcelona International Comedy Festival,41.402332,2.154649,5
Sala Ciutat,41.382462,2.1776,5
Barcelona Beach Festival,41.415752,2.231147,4
Font De La Caputxeta Vermella,41.401211,2.16676,4
Geology Museum (Museu de Geologia),41.386848,2.184661,3
Els Miraestels,41.373089,2.17837,4
Parc de Carles I,41.388641,2.193808,4
Panta de Vallvidrera,41.385597,2.169576,4
Iglesia San Marti Provencals,41.385597,2.169576,4
Museu de Carruatges,41.433739,2.1501,4
Teatre Lliure,41.402721,2.15602,3
Museu Geologic del Seminari de Barcelona,41.388233,2.16296,4
Refugi Antiaeri,41.403858,2.15576,4
Enoteca Divins,41.385597,2.169576,4
Monumento a Los Voluntarios Catalanes,41.385597,2.169576,3
MUHBA Domus Avinyo,41.3811,2.176837,4
The Centre de la Vila,41.391239,2.197356,3
Tines Enmig de les Vinyes,41.364311,2.14062,5
Carre D'artistes,41.38261,2.17317,4
Wine Cuentista,41.388741,2.17928,4
Central Catalana de Electricidad,41.392509,2.18187,4
Jardins de Can Borni,41.385597,2.169576,4
Medieval Walls,41.383789,2.18505,3
Art01 Barcelona,41.382038,2.179406,4
Bcn Art Design,41.383499,2.18135,4
Plaza Sant Miquel,41.38187,2.17745,3
Setba Foundation,41.380211,2.17558,4
Museu Etnologic Del Montseny,41.334236,2.117323,4
Casa Rusca,41.395222,2.16364,4
Casa Granell,41.397259,2.16805,4
Placa de Sarria,41.385597,2.169576,3
Monumento a Mary Santpere,41.382881,2.171602,3
antiguo convento de San Agustin,41.38739,2.18173,3
Jardi de les Escultures,41.368698,2.161176,4
Buho de la Plaza Jacint Verdaguer,41.399509,2.17049,3
La Dama del Paraguas,41.43158,2.1557,4
Puente de Calatrava,41.419868,2.18767,3
Mercado Lesseps,41.409,2.15193,4
Font dels Sis Putti,41.38718,2.16891,4
Galerias Malda,41.383167,2.173897,4
Galeria La Lesia,41.38306,2.177137,5
Velodrom d'Horta,41.385597,2.169576,3
Museu i Centre d'Estudis de l'Esport Doctor Melcior Colet,41.393169,2.14809,4
Hibernian Books,41.401909,2.15465,3
University of Pompeu Fabra,41.379002,2.17924,3
Monumento a Angel Guimera,41.378181,2.18111,4
Palau Centelles,41.381641,2.17697,4
Monumento a Mahatama Gandi,41.403728,2.20783,3
Galeria Trama,41.382702,2.17303,4
Placa de Lesseps,41.385597,2.169576,4
Puente Puerta Europa,41.385597,2.169576,4
Bcn Paella Experience,41.398121,2.16906,4
Monument to Frederic Soler i Hubert,41.37886,2.17563,3
Fira de Segells i Monedes,41.3801,2.17485,4
Hans & Fritz Contemporary,41.380779,2.16418,5
Centre Artesa Tradicionarius - CAT,41.402332,2.154649,5
Anaglifos Art Factory,41.388569,2.17758,4
Alorda Derksen Foundation (Fundacio Alorda Derksen),41.395111,2.16904,4
Parc de Joan Reventos,41.401451,2.11685,3
Comic Book and Illustrations Museum,41.385597,2.169576,4
MUHBA Santa Caterina,41.384651,2.18386,3
Institut del Teatre,41.370911,2.15808,3
Monumento a Mosen Jacint Verdaguer,41.385597,2.169576,3
MUHBA Casa de l'Aigua,41.385597,2.169576,3
Iglesia Ortodoxa Rusa de la Anunciacion,41.372688,2.17824,4
Los Encantes Nuevos,41.385597,2.169576,4
Teatre Apolo,41.374718,2.170461,4
Teatre Anatomic de Barcelona,41.381569,2.16915,4
Museo Etnologico de Barcelona,41.369068,2.15599,4
Iglesia Sant Sever,41.383385,2.175703,4
Placa del Tibidabo,41.385597,2.169576,4
Centre d'Estudis I Documentacio Del Macba,41.382961,2.16698,3
Parroquia Santa Teresa de l'Infant Jesus,41.400398,2.15159,4
Museu Etnografic Andino - Amazonic,41.393711,2.11941,3
Casa Vallet i Xiro,41.396969,2.16689,4
Edificio Palacio de la Prensa,41.385597,2.169576,4
Fuente de la Maja Madrilena,41.384289,2.17255,4
Monument to Joan Guell i Ferrer,41.391987,2.162386,4
"sinagoga Shlomo Ben Adret,",41.38253,2.17579,4
Taller Creativo Bencini Barcelona,41.38538,2.179,4
Poema,41.40337,2.20865,3
Monument to Romul Bosch i Alsina,41.379181,2.181934,3
Dona Pescadora,41.386707,2.16951,3
Caballo Negro,41.385597,2.169576,3
Barcel-one Galeria,41.38327,2.17744,5
Josep Grau Viticultor Marca,41.383015,2.181748,5
Ferrocarriles de la Generalidad de Cataluna,41.397209,2.12717,5
Experiential Hypnosis,41.385597,2.169576,5
Nauart Espacio de Creacion,41.408741,2.200728,5
Ana Yael Art Gallery,41.387753,2.177934,5
Galeria Carles Tache,41.373032,2.14822,5
Centro Civico Can Felipa,41.404701,2.20214,4
Auditori Winterthur,41.390141,2.136292,4
Heladerias Barcelona,41.40612,2.11684,3
A Josep Anselm Clave,41.398441,2.170952,3
Iglesia Ortodoxa Rumana,41.417061,2.18166,3
Montana Gallery,41.389359,2.18128,3
Monument to Francesc Soler i Rovirosa,41.391987,2.162386,3
Fuente de Hercules,41.401951,2.166519,3
Dona amb nen i flabiol,41.38765,2.16887,3
Sanatori Antituberculos,41.428047,2.098071,3
Palau Fivaller,41.381512,2.17192,3
Pabellon de la Republica Espanola,41.430561,2.15115,3
rossoPorpora,41.40097,2.15458,3
Bibliotheca Publica Arus,41.392929,2.17855,4
Patricio Minconi Jewelry Essence,41.403389,2.15087,4
Oficina24,41.397099,2.171705,4
Suriol del Castell de Grabuac,41.325539,2.13391,4
Orquestra Simfonica de Barcelona - OBC,41.398533,2.185384,4
Toguna,41.387981,2.18114,4
Cinema Ambigu,41.374352,2.16949,4
Hell Gallery,41.379421,2.16456,5
Monumeent to Joan Salvat i Papasseit,41.379181,2.181934,3
Figura Femenina,41.38718,2.16891,3
Hercules,41.38718,2.16891,3
Dona amb angel,41.38718,2.16891,3
Pomona,41.386337,2.169619,3
Pastor del Flabiol,41.38718,2.16891,3
Maternitat,41.38718,2.16891,3
El Forjador,41.38718,2.16891,3
Davis Museum,41.401402,2.15893,3
Sala Pares,41.382702,2.17303,2
Montserrat,41.38718,2.16891,3
L 'Esperit popular,41.386337,2.169619,3
Pastor de l'aliga,41.386147,2.171159,3
Dona amb imatge dela Mare de Deu,41.386337,2.169619,3
Generalitat de Cataluna Memorial Democratic,41.382038,2.16818,3
Intermon,41.390781,2.17195,3
Bcn Bar,41.389484,2.165807,3
Museo del Perfume (Museum of Perfume),41.391579,2.16539,2
Museu d'idees i invents de Barcelona (miba),41.382248,2.178076,2
Jardins de Can Mantega,41.378338,2.133408,3
Climbat Foixarda,41.365891,2.14668,3
Fundacio Brafa,41.445946,2.170203,4
Tren de l'Oreneta,41.401093,2.109125,4
Galeria Miquel Alzueta,41.397148,2.15676,3
"Museum of ideas & inventions,Barcelona",41.40292,2.15996,2
